fname	 datetime	 frames	 zdepth	 tottime (s)	 stimbouts	locnum	active cells	inverted cell flag	stimulus code	qualitative goodness (0-10)	Driver	Moving	Layer(2/4)	Stimulus Wavelength	flyID	responsivefly	Layercheck	SingleFly	PTX_5_100	Washout5mM	Washout100mM
200804_Fly3_7_Image7_pData_SIMA_only_m.mat		1800	60.9	1637074					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	573	1	0	0	0	0	0
200804_Fly3_8_Image8_pData_SIMA_only_m.mat		1800	75.55	1637074					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	573	1	0	0	0	0	0
200804_Fly4_1_Image1_pData_SIMA_only_m.mat		1800	44073	1636938					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	574	1	0	0	0	0	0
200804_Fly4_2_Image2_pData_SIMA_only_m.mat		1800	45.58	1636938					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	574	1	0	0	0	0	0
200804_Fly4_3_Image3_pData_SIMA_only_m.mat		1800	60.2	1636938					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	574	1	0	0	0	0	0
200804_Fly4_4_Image4_pData_SIMA_only_m.mat		1800	75.7	1636938					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	574	1	0	0	0	0	0
200804_Fly4_5_Image5_pData_SIMA_only_m.mat		1800	30.27	1637165					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	574	1	0	0	0	0	0
200804_Fly4_6_Image6_pData_SIMA_only_m.mat		1800	45.5	1637165					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	574	1	0	0	0	0	0
200804_Fly4_7_Image7_pData_SIMA_only_m.mat		1800	60.9	1637165					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	574	1	0	0	0	0	0
200804_Fly4_8_Image8_pData_SIMA_only_m.mat		1800	75.1	1637165					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	574	1	0	0	0	0	0
200804_Fly5_1_Image1_pData_SIMA_only_m.mat		1800	30.65	1637145					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	575	1	0	0	0	0	0
200804_Fly5_2_Image2_pData_SIMA_only_m.mat		1800	45.83	1637145					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	575	1	0	0	0	0	0
200804_Fly5_3_Image3_pData_SIMA_only_m.mat		1800	60.5	1637145					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	575	1	0	0	0	0	0
200804_Fly5_4_Image4_pData_SIMA_only_m.mat		1800	75.65	1637145					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	575	1	0	0	0	0	0
200804_Fly5_5_Image5_pData_SIMA_only_m.mat		1800	42.83	1636413					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	575	1	0	0	0	0	0
200804_Fly5_6_Image6_pData_SIMA_only_m.mat		1800	60.65	1636413					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	575	1	0	0	0	0	0
200804_Fly5_7_Image7_pData_SIMA_only_m.mat		1800	75.62	1636413					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	575	1	0	0	0	0	0
200804_Fly5_8_Image9_pData_SIMA_only_m.mat		1800	45.15	1636861					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	575	1	0	0	0	0	0
200805_Fly2_1_Image1_pData_SIMA_only_m.mat		1800	35.5	1664853					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	576	1	0	0	0	0	0
200805_Fly2_2_Image2_pData_SIMA_only_m.mat		1800	50.9	1664853					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	576	1	0	0	0	0	0
200805_Fly2_3_Image3_pData_SIMA_only_m.mat		1800	64.95	1664853					DriftingEdge_LumDecLumInc_1period_20degPerSec_90deg_BlankRand_8Dirs_optimized		w+_R59E08lexA-homo>>GCaMP6f	0		482	576	1	0	0	0	0	0
