fname	 datetime	 frames	 zdepth	 tottime (s)	 stimbouts	locnum	active cells	inverted cell flag	stimulus code	qualitative goodness (0-10)	Driver	Moving	Layer(2/4)	Stimulus Wavelength	flyID	responsivefly	Layercheck	SingleFly	PTX_5_100	Washout5mM	Washout100mM
181127_Fly3_4_Image2_pData_SIMA_only_m.mat		1000	60.3	1001306					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	257	1	0	0	0	0	0
181127_Fly3_4_Image3_pData_SIMA_only_m.mat		1000	60.3	1001306					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	257	1	0	0	0	0	0
181128_Fly1_1_Image2_pData_SIMA_only_m.mat		1000	17.45	107658					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	258	1	0	0	0	0	0
181128_Fly1_1_Image3_pData_SIMA_only_m.mat		1000	17.45	107658					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	258	1	0	0	0	0	0
181128_Fly1_2_Image2_pData_SIMA_only_m.mat		1000	43554	107658					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	258	1	0	0	0	0	0
181128_Fly1_2_Image3_pData_SIMA_only_m.mat		1000	43554	107658					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	258	1	0	0	0	0	0
181128_Fly1_3_Image2_pData_SIMA_only_m.mat		1000	44.3	1078586					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	258	1	0	0	0	0	0
181128_Fly1_3_Image3_pData_SIMA_only_m.mat		1000	44.3	1078586					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	258	1	0	0	0	0	0
181128_Fly1_4_Image2_pData_SIMA_only_m.mat		1000	62.28	1078586					DriftingStripe_LumDec_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	258	1	0	0	0	0	0
181128_Fly1_4_Image3_pData_SIMA_only_m.mat		1000	62.28	1078586					DriftingStripe_LumInc_1period_20degPerSec_10deg_BlankRand_8Dir_fullContrast		w+_R59E08lexA-homo>>GCaMP6f_LayerControl	0		482	258	1	0	0	0	0	0
